type;n;algorithm;time_microseconds;char_comparisons
random;100;QUICKSORT;505;15649
random;100;MERGESORT;184;605
random;100;STRING_QUICK_SORT;32;520
random;100;STRING_MERGE_SORT;183;1153
random;100;MSD_RADIX_SORT;213;0
random;100;MSD_RADIX_QUICK_SORT;26;58
reverse;100;QUICKSORT;406;14024
reverse;100;MERGESORT;142;429
reverse;100;STRING_QUICK_SORT;92;2630
reverse;100;STRING_MERGE_SORT;139;785
reverse;100;MSD_RADIX_SORT;219;0
reverse;100;MSD_RADIX_QUICK_SORT;24;97
almost;100;QUICKSORT;415;15255
almost;100;MERGESORT;178;482
almost;100;STRING_QUICK_SORT;36;1088
almost;100;STRING_MERGE_SORT;152;911
almost;100;MSD_RADIX_SORT;210;0
almost;100;MSD_RADIX_QUICK_SORT;21;59
prefix;100;QUICKSORT;737;28301
prefix;100;MERGESORT;400;11345
prefix;100;STRING_QUICK_SORT;47;2579
prefix;100;STRING_MERGE_SORT;292;11852
prefix;100;MSD_RADIX_SORT;506;0
prefix;100;MSD_RADIX_QUICK_SORT;341;52
random;200;QUICKSORT;728;28561
random;200;MERGESORT;304;1485
random;200;STRING_QUICK_SORT;53;1533
random;200;STRING_MERGE_SORT;306;2757
random;200;MSD_RADIX_SORT;356;0
random;200;MSD_RADIX_QUICK_SORT;39;220
reverse;200;QUICKSORT;696;29530
reverse;200;MERGESORT;250;1019
reverse;200;STRING_QUICK_SORT;168;6907
reverse;200;STRING_MERGE_SORT;266;1831
reverse;200;MSD_RADIX_SORT;319;0
reverse;200;MSD_RADIX_QUICK_SORT;41;269
almost;200;QUICKSORT;590;27795
almost;200;MERGESORT;240;1189
almost;200;STRING_QUICK_SORT;85;2828
almost;200;STRING_MERGE_SORT;272;2201
almost;200;MSD_RADIX_SORT;295;0
almost;200;MSD_RADIX_QUICK_SORT;34;210
prefix;200;QUICKSORT;1249;61191
prefix;200;MERGESORT;751;26673
prefix;200;STRING_QUICK_SORT;84;5200
prefix;200;STRING_MERGE_SORT;543;27863
prefix;200;MSD_RADIX_SORT;763;0
prefix;200;MSD_RADIX_QUICK_SORT;496;184
random;300;QUICKSORT;1104;49609
random;300;MERGESORT;394;2514
random;300;STRING_QUICK_SORT;72;2123
random;300;STRING_MERGE_SORT;445;4608
random;300;MSD_RADIX_SORT;358;0
random;300;MSD_RADIX_QUICK_SORT;52;440
reverse;300;QUICKSORT;813;37996
reverse;300;MERGESORT;355;1698
reverse;300;STRING_QUICK_SORT;300;11995
reverse;300;STRING_MERGE_SORT;381;3006
reverse;300;MSD_RADIX_SORT;367;0
reverse;300;MSD_RADIX_QUICK_SORT;56;625
almost;300;QUICKSORT;811;38721
almost;300;MERGESORT;355;2150
almost;300;STRING_QUICK_SORT;107;4134
almost;300;STRING_MERGE_SORT;398;3922
almost;300;MSD_RADIX_SORT;420;0
almost;300;MSD_RADIX_QUICK_SORT;51;460
prefix;300;QUICKSORT;2252;106908
prefix;300;MERGESORT;1242;43725
prefix;300;STRING_QUICK_SORT;121;7906
prefix;300;STRING_MERGE_SORT;855;45692
prefix;300;MSD_RADIX_SORT;979;0
prefix;300;MSD_RADIX_QUICK_SORT;674;424
random;400;QUICKSORT;1284;58350
random;400;MERGESORT;555;3665
random;400;STRING_QUICK_SORT;105;3480
random;400;STRING_MERGE_SORT;617;6622
